Leon,"16,923",18.2%,"3,080",67%,4%,29%
Liberty,"78,598",18.7%,"14,670",62%,4%,35%
Limestone,"23,469",20.2%,"4,740",71%,3%,27%
Lipscomb,"3,507",12.5%,440,54%,4%,42%
Live Oak,"11,976",13.2%,"1,580",56%,4%,40%
Llano,"19,624",16.6%,"3,260",65%,4%,32%
Loving,76,18.7%,10,100%,0%,0%
Lubbock,"294,682",16.2%,"47,680",70%,3%,27%
Lynn,"5,723",12.3%,700,87%,4%,9%
McCulloch,"8,242",14.9%,"1,220",79%,1%,20%
McLennan,"243,394",18.9%,"45,960",71%,4%,26%
McMullen,6 71,7.5%,50,98%,2%,0%
Madison,"13,843",18.8%,"2,600",44%,2%,54%
Marion,"10,191",24.0%,"2,440",64%,4%,32%
Martin,"5,451",9.3%,510,87%,11%,2%
Mason,"4,064",14.1%,570,62%,5%,33%
Matagorda,"36,719",17.2%,"6,330",74%,2%,24%
Maverick,"56,830",8.9%,"5,080",100%,0%,0%
Medina,"47,920",9.3%,"4,430",66%,3%,31%
Menard,"2,163",12.9%,280,69%,9%,21%
Midland,"155,817",10.7%,"16,710",51%,5%,44%
Milam,"24,372",17.0%,"4,150",74%,5%,21%
Mills,"4,871",14.8%,720,60%,3%,36%
Mitchell,"8,995",13.3%,"1,200",37%,2%,61%
Montague,"19,384",17.9%,"3,480",63%,5%,33%
Montgomery,"518,849",14.6%,"75,610",51%,4%,45%
Moore,"22,186",10.8%,"2,390",89%,1%,10%
Morris,"12,653",24.8%,"3,140",58%,3%,38%
Motley,"1,022",17.3%,180,72%,5%,24%
Nacogdoches,"65,556",22.2%,"14,540",70%,2%,29%
Navarro,"48,177",17.9%,"8,640",75%,6%,20%
Newton,"14,138",22.9%,"3,240",65%,6%,29%
Nolan,"15,017",14.9%,"2,240",72%,4%,24%
Nueces,"355,667",11.0%,"39,170",78%,3%,19%
Ochiltree,"10,577",10.0%,"1,050",81%,5%,14%
Oldham,"2,069",15.8%,330,52%,4%,44%
Orange,"83,751",19.8%,"16,610",56%,3%,41%
Palo Pinto,"27,922",17.7%,"4,940",72%,5%,23%
Panola,"23,771",20.5%,"4,870",59%,6%,35%
Parker,"123,601",14.8%,"18,300",45%,5%,50%
Parmer,"9 ,921",8.2%,820,98%,2%,0%
Pecos,"15,826",7.0%,"1,110",73%,8%,19%
Polk,"46,583",19.4%,"9,050",63%,4%,34%
Potter,"121,883",16.6%,"20,250",79%,3%,19%
Presidio,"7 ,144",11.3%,810,100%,0%,0%
Rains,"11,087",16.0%,"1,770",58%,8%,35%
Randall,"128,603",14.2%,"18,260",47%,4%,49%
Reagan,"3 ,625",9.5%,340,84%,16%,0%
Real,"3 ,348",16.9%,570,70%,8%,22%
Red River,"12,455",21.1%,"2,630",72%,8%,20%
Reeves,"14,438",7.2%,"1,050",83%,5%,12%
Refugio,"7 ,315",12.5%,910,69%,4%,28%
Roberts,939,14.1%,130,33%,67%,0%
Robertson,"16,537",18.3%,"3,030",61%,5%,35%
Rockwall,"88,010",12.7%,"11,200",41%,4%,55%
Runnels,"10,411",13.9%,"1,440",70%,4%,26%
Rusk,"53,197",19.3%,"10,290",59%,5%,36%
Sabine,"10,367",23.1%,"2,400",69%,3%,27%
San Augustine,"8 ,556",25.6%,"2,190",80%,3%,17%
San Jacinto,"27,172",18.7%,"5,070",70%,5%,25%
San Patricio,"66,706",11.2%,"7,490",75%,7%,18%
San Saba,"5 ,881",15.1%,890,75%,6%,19%
Schleicher,"3 ,171",9.6%,310,52%,4%,44%
Scurry,"17,314",11.6%,"2,010",66%,5%,29%
Shackelford,"3 ,323",17.1%,570,55%,0%,44%
Shelby,"25,705",21.3%,"5,480",81%,4%,15%
Sherman,"3 ,069",10.1%,310,70%,16%,15%
Smith,"219,745",19.2%,"42,160",65%,4%,31%
Somervell,"8 ,673",16.6%,"1,440",62%,2%,36%
Starr,"63,008",12.5%,"7,910",100%,0%,0%
Stephens,"9 ,787",17.1%,"1,670",69%,4%,27%
Sterling,"1 ,233",11.8%,150,85%,1%,14%
Stonewall,"1 ,233",16.4%,200,64%,0%,36%
Sutton,"3 ,936",9.6%,380,61%,12%,28%
Swisher,"7 ,639",15.2%,"1,160",75%,6%,19%
Tarrant,"1,947,529",16.6%,"323,840",61%,4%,36%
Taylor,"135,234",17.5%,"23,710",67%,3%,30%
Terrell,778,10.2%,80,87%,1%,12%
Terry,"12,724",10.5%,"1,340",97%,3%,0%
Throckmorton,"1 ,520",15.7%,240,57%,7%,37%
Titus,"32,592",15.9%,"5,180",81%,6%,13%
Tom Green,"116,264",13.7%,"15,900",66%,6%,29%
Travis,"1,148,176",15.2%,"174,100",60%,2%,37%
Trinity,"14,360",19.2%,"2,760",77%,3%,20%
Tyler,"21,371",19.8%,"4,230",49%,4%,46%
Upshur,"40,295",18.9%,"7,620",56%,5%,39%
Upton,"3 ,475",12.4%,430,72%,3%,25%
Uvalde,"27,055",8.9%,"2,410",100%,0%,0%
Val Verde,"48,862",8.5%,"4,140",100%,0%,0%
Van Zandt,"53,070",17.3%,"9,190",60%,5%,35%
Victoria,"90,989",12.9%,"11,740",69%,5%,25%
Walker,"69,926",23.3%,"16,320",48%,2%,50%
Waller,"47,049",19.2%,"9,020",65%,3%,32%
Ward,"11,396",11.8%,"1,340",67%,0%,32%
Washington,"34,544",18.3%,"6,310",57%,6%,37%
Webb,"266,006",8.1%,"21,520",100%,0%,0%
Wharton,"41,377",15.3%,"6,340",78%,2%,20%
Wheeler,"5 ,642",16.0%,900,65%,7%,28%
Wichita,"132,148",19.2%,"25,430",59%,3%,38%
Wilbarger,"13,061",16.8%,"2,200",72%,6%,22%
Willacy,"21,944",13.5%,"2,950",88%,12%,0%
Williamson,"490,619",13.0%,"63,690",41%,4%,55%
Wilson,"46,444",9.7%,"4,480",56% 5% 40%
Winkler,"7 ,723",11.0%,850,74% 4% 22%
Wise,"62,089",15.0%,"9,310",60% 8% 32%
Wood,"43,198",17.3%,"7,480",60% 7% 33%
Yoakum,"8 ,316",7.0%,580,92% 4% 4%
Young,"18,275",15.6%,"2,850",66% 5% 29%
Zapata,"14,335",10.8%,"1,550",94% 7% 0%
Zavala,"12,107",13.9%,"1,680",100% 0% 0%
State Total6,"27,862,596",15.4%,"4,277,540",63.8% 3.2% 33.0%
